(u'Texas, USA', '|', u'@bloodless_coup @NicolleDWallace @realDonaldTrump Oh my...why..&gt;WHHHYY...did you have to put that picture in my head? LOL! #NeverTrump', 'Trump')
(u'Arkansas, USA', '|', u"@solomongrundy6 @DeniseDedrick @FoxNews @realDonaldTrump @tedcruz @CNN he says he doesn't drink cause his brother died from it. He loved him", 'Trump')
(u'Economy, PA', '|', u'@TrumpSuperPAC @tedcruz https://t.co/2pCEolXfdt', 'Trump')
(u'Fox News Channel', '|', u'Join us this morning. Big news day &amp; lineup: @AdamKinzinger @SebGorka @SheriffClarke @realDonaldTrump and more... https://t.co/GiF4aR9WBS', 'Trump')
(u'Alabama, USA', '|', u'The GOP must stop Trump via @BostonGlobe  https://t.co/4CS5DUP1AP\nVery interesting piece here.......', 'Trump')
(u'Kentucky, USA', '|', u"@realDonaldTrump it's obvious #NeverCruz will not play by the rules, I'm sure you have a plan, my band will be having fund raiser 4U #TRUMP", 'Trump')
(u'Pennsylvania, USA', '|', u"Two of Trump's Kids Will Not Be Voting for Their Father During New York's Close... https://t.co/nu8W15Qhsp via @theblaze", 'Trump')
(u'Boston, MA', '|', u"Donald Trump slammed The Boston Globe's satirical front page and sharp editorial https://t.co/PBGsqoSF3B", 'Trump')
(u'Bogart, GA', '|', u"\U0001f447 That's the whole GPOe summed up in three words. #TrumpArmy #AlwaysTrump #StopTheSteal https://t.co/rfXTR3XJLQ", 'Trump')
(u'Centereach, NY', '|', u'@realDonaldTrump would love to hear more stories about your young days when your dad made u mop floors. Impressive story', 'Trump')
(u'Kansas, USA', '|', u'@DanScavino So is @realDonaldTrump .   @cologop', 'Trump')
(u'Centereach, NY', '|', u"@realDonaldTrump YES. But it is the constitutional way. And I'm a supporter.", 'Trump')
(u'Washington, DC', '|', u'@castello2 @GregTHR Ted Cruz is Hispanic and Donald Trump is orange; neither full "white." Facts are tricky.', 'Trump')
(u'Raleigh, NC', '|', u'#AnyBodyButTrumpOrCruz ...Republican Party will self-destruct ... 40% of Republicans will sit home and watch GOP meltdown just like Spieth', 'Trump')
(u'Arkansas, USA', '|', u'@solomongrundy6 @DeniseDedrick @FoxNews @realDonaldTrump @tedcruz @CNN just think what he would say if he was drunk. Oh geez!!!!', 'Trump')
(u'Pennsylvania, USA', '|', u'Cruz-Supporting Delegates Picked in Virginia District Trump Won\nhttps://t.co/ccNftoRM1K https://t.co/RrFLFocT3z', 'Trump')
(u'Queens, NY', '|', u"@realDonaldTrump ,look what they did to you on@NY1 ! I've been following  your campaign very closely, they messed up https://t.co/E78VzZdpIF", 'Trump')
(u'Kentucky, USA', '|', u"@miksu2006 yes it's all corrupt both sides #WeNeedTrump #NeverCruz is stealing states and #NeverHillary is worse they R 2 P's N A pod", 'Trump')
(u'South Jordan, UT', '|', u'https://t.co/irlRokKbdb https://t.co/8nbBCM0Kjy\n\nSaturday, April 9, 2016\n"Respetado Sr. Trump" https://t.co/t6nXsA3pPs', 'Trump')
(u'Texas, USA', '|', u"@ZacBonesteel @bloodless_coup @NicolleDWallace @realDonaldTrump NOOOOOOO! But I'm glad you included #Drumpf in that Tweet!", 'Trump')
